Gruppe1
;1001
;;1001_1264fb;3,41463414634146;3,39130434782609
;;1001_1f3ff6;3,125;3,13698630136986
;;1001_59b696;3,57777777777778;3,4438202247191
;;avg;score;score (w/ conf.)
;;;3,37247064137308;3,37247064137308
;1002
;;1002_1f3ff6;2,35714285714286;2,37037037037037
;;1002_c6ea2f;3,38888888888889;3,32624113475177
;;avg;score;score (w/ conf.)
;;;2,87301587301587;2,87301587301587
;1003
;;1003_53f59c;3,61904761904762;3,69473684210526
;;1003_68b215;3,25;3,24038461538462
;;1003_7addd5;3;2,97315436241611
;;1003_bfede2;2,75757575757576;2,69491525423729
;;avg;score;score (w/ conf.)
;;;3,15665584415584;3,15665584415584
;1004
;;1004_1264fb;4,39583333333333;4,33490566037736
;;1004_68b215;4,16666666666667;4,16814159292035
;;1004_d92924;3,6875;3,7603305785124
;;1004_dc82e2;3,93478260869565;3,9738219895288
;;avg;score;score (w/ conf.)
;;;4,04619565217391;4,04619565217391
;1005
;;1005_7f50e8;3,56521739130435;3,55555555555556
;;1005_8d9ecc;4,02040816326531;4,04081632653061
;;1005_ec42b5;1,72972972972973;1,69642857142857
;;avg;score;score (w/ conf.)
;;;3,10511842809979;3,10511842809979
;1006
;;1006_145b7e;3,24444444444444;3,21578947368421
;;1006_53f59c;4,61702127659574;4,61702127659574
;;1006_ce4066;2,48387096774194;2,43298969072165
;;avg;score;score (w/ conf.)
;;;3,44844556292737;3,44844556292737
;1007
;;1007_1438ea;2,84848484848485;2,86619718309859
;;1007_8d9ecc;3,03846153846154;3,11282051282051
;;1007_d92924;1,81578947368421;1,79020979020979
;;avg;score;score (w/ conf.)
;;;2,5675786202102;2,5675786202102
;1008
;;1008_59b696;4,83333333333333;4,81052631578947
;;1008_8d9ecc;4,34;4,33668341708543
;;1008_d92924;2,44736842105263;2,40909090909091
;;1008_e3d07a;4,61538461538462;4,61538461538462
;;avg;score;score (w/ conf.)
;;;4,05902159244264;4,05902159244264
;1010
;;1010_1f3ff6;3,54545454545455;3,54545454545455
;;1010_7f50e8;3,48780487804878;3,48780487804878
;;1010_e3d07a;2,88888888888889;2,88888888888889
;;avg;score;score (w/ conf.)
;;;3,30738277079741;3,30738277079741
;1011
;;1011_ce4066;2,14285714285714;2,11111111111111
;;1011_dc82e2;3,30434782608696;3,35353535353535
;;1011_ec42b5;2,02857142857143;1,97391304347826
;;avg;score;score (w/ conf.)
;;;2,49192546583851;2,49192546583851
;1012
;;1012_1438ea;2,6875;2,8130081300813
;;1012_d92924;1,83333333333333;1,84677419354839
;;1012_e3d07a;3,48387096774194;3,48387096774194
;;avg;score;score (w/ conf.)
;;;2,66823476702509;2,66823476702509
;1013
;;1013_1438ea;3,14285714285714;3,2
;;1013_59b696;3,69047619047619;3,6
