topic;oq;avg;;;worst;average;better;;topic;oq;round(avg);;;schlechter;mittelwert;besser;;;;;;;
1020;3;3,4;-0,4;;;;;;1020;3;3;0;;;;;;;;;;;
1021;3;3,4;-0,4;;;;;;1021;3;3;0;;;;;;;;;;;
1021;3;3,9;-0,9;;;;;;1021;3;4;-1;;;;;;;;;;;
1021;3;3,2;-0,2;;;;;;1021;3;3;0;;;;;;;;;;;
1021;5;4,3;0,7;;;;;;1021;5;4;1;;;;;;;;;;;
1022;5;5;0;;;;;;1022;5;5;0;;;;;;;;;;;
1022;4;3,9;0,1;;;;;;1022;4;4;0;;;;;;;;;;;
1022;3;3,4;-0,4;;;;;;1022;3;3;0;;;;;;;;;;;
1022;4;3,6;0,4;;;;;;1022;4;4;0;;;;;;;;;;;
1023;2;2,8;-0,8;;;;;;1023;2;3;-1;;;;;;;;;;;
1023;4;3,6;0,4;;;;;;1023;4;4;0;;;;;;;;;;;
1023;3;3,6;-0,6;;;;;;1023;3;4;-1;;;;;;;;;;;
1023;5;4,8;0,2;;;;;;1023;5;5;0;;;;;;;;;;;
1024;3;3,4;-0,4;;;;;;1024;3;3;0;;;;;;;;;;;
1024;3;3,2;-0,2;;;;;;1024;3;3;0;;;;;;;;;;;
1024;5;4,7;0,3;;;;;;1024;5;5;0;;;;;;;;;;;
1024;2;3;-1;;;;;;1024;2;3;-1;;;;;;;;;;;
1025;1;3,1;-2,1;;;;;;1025;1;3;-2;;;;;;;;;;;
1025;1;2,3;-1,3;;;;;;1025;1;2;-1;;;;;;;;;;;
1025;1;3,7;-2,7;;;;;;1025;1;4;-3;;;;;;;;;;;
1025;3;3,1;-0,1;;;;;;1025;3;3;0;;;;;;;;;;;
1026;3;2,9;0,1;;;;;;1026;3;3;0;;;;;;;;;;;
1026;2;2,9;-0,9;;;;;;1026;2;3;-1;;;;;;;;;;;
1026;4;4,2;-0,2;;;;;;1026;4;4;0;;;;;;;;;;;
1026;4;3,9;0,1;;;;;;1026;4;4;0;;;;;;;;;;;
1027;3;3,2;-0,2;;;;;;1027;3;3;0;;;;;;;;;;;
1027;5;4,7;0,3;;;;;;1027;5;5;0;;;;;;;;;;;
1027;4;4,7;-0,7;;;;;;1027;4;5;-1;;;;;;;;;;;
1027;2;3,3;-1,3;;;;;;1027;2;3;-1;;;;;;;;;;;
1028;2;2,3;-0,3;;;;;;1028;2;2;0;;;;;;;;;;;
1028;1;2,1;-1,1;;;;;;1028;1;2;-1;;;;;;;;;;;
1028;1;1,8;-0,8;;;;;;1028;1;2;-1;;;;;;;;;;;
1028;2;2,9;-0,9;;;;;;1028;2;3;-1;;;;;;;;;;;
1029;4;4,3;-0,3;;;;;;1029;4;4;0;;;;;;;;;;;
1029;3;3,5;-0,5;;;;;;1029;3;4;-1;;;;;;;;;;;
1029;4;4,1;-0,1;;;;;;1029;4;4;0;;;;;;;;;;;
1029;4;4,1;-0,1;;;;;;1029;4;4;0;;;;;;;;;;;
1030;4;3,9;0,1;;;;;;1030;4;4;0;;;;;;;;;;;
1030;5;4,8;0,2;;;;;;1030;5;5;0;;;;;;;;;;;
1030;3;3;0;;;;;;1030;3;3;0;;;;;;;;;;;
1030;3;4;-1;;;;;;1030;3;4;-1;;;;;;;;;;;
1031;4;4,4;-0,4;;;;;;1031;4;4;0;;;;;;;;;;;
1031;3;3,7;-0,7;;;;;;1031;3;4;-1;;;;;;;;;;;
