1001_21e098;2,72;2,949494949;3,545540963;3,620968463;1001;;min;2,036868687;2,037819877;;#NV
1001_64fdbc;3,56097561;3,577889447;;;;;med;3,664386009;3,677646996;;
1001_7f50e8;3,974358974;3,972972973;;;;;max;4,42737051;4,470253478;;
1001_c6ea2f;3,926829268;3,983516484;;;;;;;;;
1002_64fdbc;2,5;2,515463918;3,195622717;3,226100076;1002;;;;;;
1002_8d9ecc;3,555555556;3,543147208;;;;;;;;;
1002_dc82e2;3,239130435;3,318181818;;;;;;;;;
1002_eaf44e;3,487804878;3,527607362;;;;;;;;;
1003_145b7e;2,659574468;2,633165829;3,339978315;3,359711536;1003;;;;;;
1003_59b696;4,136363636;4,159763314;;;;;;;;;
1003_64fdbc;3,085714286;3,090361446;;;;;;;;;
1003_dc82e2;3,47826087;3,555555556;;;;;;;;;
1004_1438ea;3,576923077;3,580952381;3,858297646;3,883326371;1004;;;;;;
1004_59b696;4,770833333;4,805263158;;;;;;;;;
1004_b3595e;3,323529412;3,385185185;;;;;;;;;
1004_eaf44e;3,761904762;3,761904762;;;;;;;;;
1005_21e098;1,967741935;2,079365079;3,384737611;3,368605594;1005;;;;;;
1005_59b696;3,897435897;3,713114754;;;;;;;;;
1005_c6ea2f;4,138888889;4,147058824;;;;;;;;;
1005_eaf44e;3,534883721;3,534883721;;;;;;;;;
1006_21e098;2;2,191919192;2,991521487;3,026798557;1006;;;;;;
1006_7f50e8;3,975609756;3,975609756;;;;;;;;;
1006_bfede2;2,657142857;2,644067797;;;;;;;;;
1006_c6ea2f;3,333333333;3,295597484;;;;;;;;;
1007_7addd5;4,657894737;4,673611111;4,42737051;4,470253478;1007;;;;;;
1007_b3595e;4,714285714;4,77852349;;;;;;;;;
1007_bfede2;4,142857143;4,1875;;;;;;;;;
1007_ce4066;4,194444444;4,24137931;;;;;;;;;
1008_1438ea;2,941176471;2,950704225;3,219600491;3,166462199;1008;;;;;;
1008_38863e;3,024390244;2,893854749;;;;;;;;;
1008_68b215;3,551724138;3,555555556;;;;;;;;;
1008_c6ea2f;3,361111111;3,265734266;;;;;;;;;
1010_38390e;3,365853659;3,268656716;3,546198263;3,5174889;1010;;;;;;
1010_ade10e;3,477272727;3,459302326;;;;;;;;;
1010_c6ea2f;3,416666667;3,414285714;;;;;;;;;
1010_d92924;3,925;3,927710843;;;;;;;;;
1011_38390e;3,780487805;3,863013699;3,873761083;3,90840199;1011;;;;;;
1011_64fdbc;3,627906977;3,645933014;;;;;;;;;
1011_7addd5;4,184210526;4,222222222;;;;;;;;;
1011_7f50e8;3,902439024;3,902439024;;;;;;;;;
1012_38390e;4,780487805;4,775757576;3,928810027;3,934181097;1012;;;;;;
1012_7addd5;3,973684211;3,979166667;;;;;;;;;
1012_bfede2;3,032258065;3,047619048;;;;;;;;;
1013_21e098;3,64;3,727272727;3,878896758;3,926940837;1013;;;;;;
1013_38863e;2,926829268;2,931428571;;;;;;;;;
1013_68b215;4,035714286;4,12987013;;;;;;;;;
1013_dc82e2;4,913043478;4,919191919;;;;;;;;;
1014_145b7e;3,6;3,573684211;4,012016286;4,013635425;1014;;;;;;
1014_7addd5;4,605263158;4,673611111;;;;;;;;;
1014_8d9ecc;4,734693878;4,8;;;;;;;;;
1014_d92924;3,108108108;3,007246377;;;;;;;;;
1015_64fdbc;3,790697674;3,784688995;4,079698264;4,105556286;1015;;;;;;
1015_8d9ecc;4,816326531;4,857894737;;;;;;;;;
1015_ade10e;3,651162791;3,659340659;;;;;;;;;
1015_b3595e;4,060606061;4,120300752;;;;;;;;;
1016_68b215;3,75;3,793103448;3,947446742;3,973978139;1016;;;;;;
1016_7addd5;4,105263158;4,090277778;;;;;;;;;
1016_b3595e;4,125;4,203007519;;;;;;;;;
1016_eaf44e;3,80952381;3,80952381;;;;;;;;;
1017_1438ea;2,617647059;2,563909774;3,706372549;3,72350264;1017;;;;;;
1017_bfede2;4,35;4,357575758;;;;;;;;;
1017_c6ea2f;3,916666667;3,924137931;;;;;;;;;
1017_d92924;3,941176471;4,048387097;;;;;;;;;
1018_21e098;3,8;3,797979798;3,310713293;3,31309145;1018;;;;;;
1018_bfede2;3,516129032;3,49;;;;;;;;;
1018_ce4066;3,551724138;3,537634409;;;;;;;;;
1018_d92924;2,375;2,426751592;;;;;;;;;
1019_21e098;2,16;2,232323232;2,942716186;2,905160585;1019;;;;;;
1019_38390e;3,292682927;3,294797688;;;;;;;;;
